Year,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Region
2023,Cumberland,NC,Passenger,1,4,5,294,299,1.67,South
2017,San Diego,CA,Passenger,6,1,7,2577,2584,0.27,West
2019,Orange,CA,Passenger,7,2,9,523,532,1.69,West
2023,Ventura,CA,Passenger,3,2,5,204,209,2.39,West
2022,Hudson,NJ,Passenger,2,0,2,35,37,5.41,Northeast
2022,Lee,FL,Passenger,1,0,1,29,30,3.33,South
2018,Hamilton,TN,Passenger,1,0,1,23,24,4.17,South
2017,Lane,OR,Passenger,0,1,1,210,211,0.47,West
2017,Northampton,PA,Passenger,0,1,1,67,68,1.47,Northeast
2022,Montgomery,AL,Passenger,0,1,1,37,38,2.63,South
2023,DeKalb,GA,Passenger,1,0,1,45,46,2.17,South
2017,District of Columbia,DC,Passenger,0,2,2,204,206,0.97,
2017,Marin,CA,Passenger,1,0,1,57,58,1.72,West
2017,Twin Falls,ID,Passenger,0,1,1,24,25,4.0,West
2020,Owyhee,ID,Passenger,1,0,1,3,4,25.0,West
2018,Riverside,CA,Passenger,2,2,4,702,706,0.57,West
2020,El Paso,CO,Passenger,2,1,3,727,730,0.41,West
2021,Dallas,TX,Passenger,1,0,1,165,166,0.6,South
2022,Charleston,SC,Passenger,2,2,4,65,69,5.8,South
2017,Norfolk,MA,Passenger,1,0,1,39,40,2.5,Northeast
2020,Vigo,IN,Passenger,1,0,1,5,6,16.67,Midwest
2021,Calvert,MD,Passenger,0,2,2,86,88,2.27,Northeast
2020,DeKalb,GA,Passenger,1,0,1,80,81,1.23,South
2021,Williams,ND,Passenger,0,1,1,7,8,12.5,Midwest
2019,Jefferson,NY,Passenger,0,2,2,217,219,0.91,Northeast
2018,Garfield,OK,Passenger,1,0,1,13,14,7.14,South
2021,Pennington,SD,Passenger,1,0,1,34,35,2.86,Midwest
2023,Napa,CA,Passenger,0,1,1,8,9,11.11,West
2018,El Paso,CO,Passenger,2,0,2,766,768,0.26,West
2018,Washington,OR,Passenger,0,1,1,480,481,0.21,West
2020,Harrison,MS,Passenger,1,0,1,52,53,1.89,South
2018,Goochland,VA,Passenger,0,1,1,244,245,0.41,South
2023,Ventura,CA,Passenger,2,2,4,173,177,2.26,West
2022,San Joaquin,CA,Passenger,1,1,2,88,90,2.22,West
2022,Moore,NC,Passenger,0,1,1,112,113,0.88,South
2022,Owyhee,ID,Passenger,1,0,1,2,3,33.33,West
2020,Washington,OR,Passenger,1,0,1,429,430,0.23,West
2020,Anne Arundel,MD,Passenger,1,1,2,408,410,0.49,Northeast
2017,Santa Fe,NM,Passenger,0,1,1,45,46,2.17,West
2021,Plaquemines,LA,Passenger,0,1,1,17,18,5.56,South
2017,Franklin,MA,Passenger,0,1,1,4,5,20.0,Northeast
2017,Clay,FL,Passenger,0,1,1,107,108,0.93,South
2021,Placer,CA,Passenger,2,0,2,84,86,2.33,West
2019,Larimer,CO,Passenger,1,0,1,58,59,1.69,West
2022,Champaign,IL,Passenger,1,0,1,11,12,8.33,Midwest
2019,Monroe,IL,Passenger,1,0,1,5,6,16.67,Midwest
2022,Monterey,CA,Passenger,0,2,2,132,134,1.49,West
2017,Honolulu,HI,Passenger,3,2,5,598,603,0.83,West
2021,Jefferson,NY,Passenger,0,1,1,209,210,0.48,Northeast
2021,Montgomery,PA,Passenger,2,0,2,22,24,8.33,Northeast
2023,Frederick,MD,Passenger,1,0,1,60,61,1.64,Northeast
2021,Lake,IL,Passenger,3,0,3,156,159,1.89,Midwest
2022,Philadelphia,PA,Passenger,1,0,1,38,39,2.56,Northeast
2022,Orange,FL,Passenger,2,0,2,99,101,1.98,South
2021,Spartanburg,SC,Passenger,0,1,1,53,54,1.85,South
2021,El Dorado,CA,Passenger,1,0,1,34,35,2.86,West
2022,Henrico,VA,Passenger,0,1,1,12,13,7.69,South
2022,Collin,TX,Passenger,3,0,3,100,103,2.91,South
2023,St. Clair,IL,Passenger,1,0,1,96,97,1.03,Midwest
2017,Travis,TX,Passenger,0,1,1,196,197,0.51,South
2022,Hoke,NC,Passenger,1,0,1,73,74,1.35,South
2022,Goochland,VA,Passenger,0,1,1,84,85,1.18,South
2023,Anne Arundel,MD,Passenger,5,3,8,287,295,2.71,Northeast
2018,Washington,OR,Passenger,0,1,1,473,474,0.21,West
2020,Carson City,NV,Passenger,1,0,1,12,13,7.69,West
2019,Cascade,MT,Passenger,0,1,1,63,64,1.56,West
2021,Hennepin,MN,Passenger,3,0,3,72,75,4.0,Midwest
2023,Randolph,NC,Passenger,1,0,1,4,5,20.0,South
2020,Orange,CA,Passenger,7,2,9,512,521,1.73,West
2018,Fairfax,VA,Passenger,3,2,5,828,833,0.6,South
2022,Anne Arundel,MD,Passenger,4,3,7,346,353,1.98,Northeast
2023,Washington,OR,Passenger,1,0,1,253,254,0.39,West
2021,Deschutes,OR,Passenger,1,0,1,111,112,0.89,West
2019,Bexar,TX,Passenger,1,5,6,657,663,0.9,South
2023,Santa Cruz,CA,Passenger,1,0,1,17,18,5.56,West
2017,Fairfax,VA,Passenger,3,2,5,837,842,0.59,South
2022,Henrico,VA,Passenger,0,1,1,8,9,11.11,South
2018,Manassas,VA,Passenger,0,1,1,9,10,10.0,South
2020,Putnam,TN,Passenger,0,1,1,3,4,25.0,South
2017,Tarrant,TX,Passenger,1,0,1,239,240,0.42,South
2023,Kings,CA,Passenger,2,1,3,284,287,1.05,West
2021,Nassau,NY,Passenger,3,0,3,31,34,8.82,Northeast
2019,Kent,MI,Passenger,0,1,1,24,25,4.0,Midwest
2022,Charles,MD,Passenger,0,1,1,64,65,1.54,Northeast
2023,Cook,IL,Passenger,3,1,4,122,126,3.17,Midwest
2022,Fairfax,VA,Passenger,7,3,10,612,622,1.61,South
2017,El Paso,CO,Passenger,1,1,2,846,848,0.24,West
2020,Guadalupe,TX,Passenger,1,0,1,67,68,1.47,South
2019,Maui,HI,Passenger,2,0,2,42,44,4.55,West
2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22,West
2018,Lee,AL,Passenger,1,0,1,35,36,2.78,South
2018,Manatee,FL,Passenger,1,0,1,40,41,2.44,South
2022,Anchorage,AK,Passenger,2,0,2,128,130,1.54,West
2022,Nueces,TX,Passenger,1,1,2,57,59,3.39,South
2022,Richland,SC,Passenger,0,1,1,121,122,0.82,South
2021,St. Clair,IL,Passenger,1,0,1,138,139,0.72,Midwest
2021,Sedgwick,KS,Passenger,1,1,2,90,92,2.17,Midwest
2023,Benton,OR,Passenger,1,0,1,30,31,3.23,West
2021,Milwaukee,WI,Passenger,1,0,1,38,39,2.56,Midwest
2022,Santa Cruz,CA,Passenger,1,0,1,19,20,5.0,West
2020,Clackamas,OR,Passenger,2,0,2,183,185,1.08,West
2020,Henrico,VA,Passenger,0,1,1,19,20,5.0,South
2022,Harrison,MS,Passenger,2,0,2,44,46,4.35,South
2018,Pinal,AZ,Passenger,2,0,2,200,202,0.99,West
2019,Cascade,MT,Passenger,0,1,1,57,58,1.72,West
2023,Gwinnett,GA,Passenger,1,0,1,46,47,2.13,South
2019,Lee,FL,Passenger,1,0,1,53,54,1.85,South
2022,Saratoga,NY,Passenger,1,0,1,41,42,2.38,Northeast
2021,Denver,CO,Passenger,1,0,1,113,114,0.88,West
2021,District of Columbia,DC,Passenger,5,0,5,193,198,2.53,
2020,Camden,NJ,Passenger,0,2,2,20,22,9.09,Northeast
2020,Howard,MD,Passenger,0,1,1,64,65,1.54,Northeast
2019,Randolph,NC,Passenger,1,0,1,6,7,14.29,South
2019,DeKalb,IN,Passenger,1,0,1,1,2,50.0,Midwest
2023,Monterey,CA,Passenger,1,1,2,94,96,2.08,West
2018,Santa Clara,CA,Passenger,8,0,8,379,387,2.07,West
2021,Nassau,NY,Passenger,3,0,3,30,33,9.09,Northeast
2020,Harnett,NC,Passenger,1,1,2,213,215,0.93,South
2019,Guadalupe,TX,Passenger,1,0,1,80,81,1.23,South
2023,Harrison,MS,Passenger,1,0,1,29,30,3.33,South
2021,Queens,NY,Passenger,2,0,2,49,51,3.92,Northeast
2023,Ventura,CA,Passenger,3,2,5,202,207,2.42,West
2023,Cumberland,NC,Passenger,1,3,4,272,276,1.45,South
2023,Los Angeles,CA,Passenger,4,5,9,651,660,1.36,West
2019,Juneau,AK,Passenger,0,2,2,30,32,6.25,West
2019,Clay,FL,Passenger,0,1,1,85,86,1.16,South
2019,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.0,
2018,Lane,OR,Passenger,0,1,1,194,195,0.51,West
2022,Placer,CA,Passenger,2,0,2,65,67,2.99,West
2021,Cumberland,NC,Passenger,0,2,2,427,429,0.47,South
2017,Ventura,CA,Passenger,0,1,1,331,332,0.3,West
2019,San Mateo,CA,Passenger,2,1,3,124,127,2.36,West
2022,Hillsborough,FL,Passenger,1,2,3,118,121,2.48,South
2017,Multnomah,OR,Passenger,3,3,6,880,886,0.68,West
2017,Nueces,TX,Passenger,0,1,1,93,94,1.06,South
2023,Broward,FL,Passenger,1,0,1,53,54,1.85,South
2017,Hawaii,HI,Passenger,1,0,1,87,88,1.14,West
2018,Sangamon,IL,Passenger,1,0,1,9,10,10.0,Midwest
2019,Manassas,VA,Passenger,0,1,1,7,8,12.5,South
2021,Portsmouth,VA,Passenger,0,1,1,78,79,1.27,South
2018,Douglas,NE,Passenger,0,1,1,69,70,1.43,Midwest
2021,New York,NY,Passenger,1,0,1,41,42,2.38,Northeast
2019,Howard,MD,Passenger,0,1,1,80,81,1.23,Northeast
2021,Travis,TX,Passenger,4,3,7,141,148,4.73,South
2019,Riverside,CA,Passenger,2,2,4,658,662,0.6,West
2021,Charles,MD,Passenger,1,1,2,72,74,2.7,Northeast
2021,Salt Lake,UT,Passenger,0,1,1,176,177,0.56,West
2017,Missoula,MT,Passenger,1,0,1,72,73,1.37,West
2021,Sevier,AR,Passenger,0,1,1,0,1,100.0,South
2017,El Paso,CO,Passenger,1,1,2,827,829,0.24,West
2022,Harris,TX,Passenger,1,0,1,131,132,0.76,South
2022,Onslow,NC,Passenger,0,1,1,161,162,0.62,South
2017,Lee,AL,Passenger,1,0,1,36,37,2.7,South
2022,Ventura,CA,Passenger,2,2,4,245,249,1.61,West
2020,Sedgwick,KS,Passenger,1,1,2,96,98,2.04,Midwest
2021,Denver,CO,Passenger,1,0,1,110,111,0.9,West
2017,Hawaii,HI,Passenger,1,0,1,79,80,1.25,West
2019,Tuolumne,CA,Passenger,0,1,1,12,13,7.69,West
2020,Brevard,FL,Passenger,0,1,1,88,89,1.12,South
2023,Collier,FL,Passenger,1,0,1,13,14,7.14,South
2019,Washtenaw,MI,Passenger,1,0,1,41,42,2.38,Midwest
2019,Deschutes,OR,Passenger,3,0,3,159,162,1.85,West
2019,Fairfax,VA,Passenger,5,2,7,758,765,0.92,South
2018,Arlington,VA,Passenger,1,2,3,173,176,1.7,South
2019,Volusia,FL,Passenger,0,1,1,40,41,2.44,South
2023,Prince George's,MD,Passenger,3,1,4,119,123,3.25,Northeast
2023,Broward,FL,Passenger,1,0,1,67,68,1.47,South
2020,Middlesex,MA,Passenger,1,1,2,96,98,2.04,Northeast
2019,Owyhee,ID,Passenger,1,0,1,3,4,25.0,West
2019,Travis,TX,Passenger,2,1,3,207,210,1.43,South
2019,Ventura,CA,Passenger,0,2,2,315,317,0.63,West
2021,Multnomah,OR,Passenger,2,6,8,626,634,1.26,West
2023,St. Mary's,MD,Passenger,1,0,1,174,175,0.57,Northeast
2018,Frederick,MD,Passenger,0,1,1,89,90,1.11,Northeast
2023,Hardin,KY,Passenger,1,0,1,57,58,1.72,South
2021,Suffolk,MA,Passenger,0,2,2,30,32,6.25,Northeast
2023,Champaign,IL,Passenger,1,0,1,11,12,8.33,Midwest
2019,Pinal,AZ,Passenger,1,0,1,192,193,0.52,West
2018,Suffolk,MA,Passenger,0,1,1,44,45,2.22,Northeast
2021,Juneau,AK,Passenger,0,1,1,23,24,4.17,West
2018,Shasta,CA,Passenger,1,0,1,45,46,2.17,West
2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69,Midwest
2017,Lane,OR,Passenger,0,1,1,250,251,0.4,West
2023,Coryell,TX,Passenger,1,0,1,60,61,1.64,South
2018,Frederick,MD,Passenger,0,1,1,88,89,1.12,Northeast
2023,Lane,OR,Passenger,0,2,2,56,58,3.45,West
2022,Hudson,NJ,Passenger,2,0,2,36,38,5.26,Northeast
2020,Montgomery,PA,Passenger,1,0,1,24,25,4.0,Northeast
2018,Orleans,LA,Passenger,0,1,1,47,48,2.08,South
2022,Sheridan,WY,Passenger,1,0,1,6,7,14.29,West
2019,St. Mary's,MD,Passenger,1,0,1,214,215,0.47,Northeast
2020,Osceola,FL,Passenger,1,0,1,42,43,2.33,South
2021,Duval,FL,Passenger,0,2,2,343,345,0.58,South
2019,St. Clair,IL,Passenger,0,1,1,163,164,0.61,Midwest
2022,Sonoma,CA,Passenger,0,1,1,78,79,1.27,West
2022,Rockingham,NH,Passenger,1,0,1,13,14,7.14,Northeast
2020,Williams,ND,Passenger,0,1,1,13,14,7.14,Midwest
2021,Larimer,CO,Passenger,1,0,1,51,52,1.92,West
2017,Montgomery,MD,Passenger,1,0,1,306,307,0.33,Northeast
2023,Richland,SC,Passenger,0,1,1,106,107,0.93,South
2020,San Francisco,CA,Passenger,2,1,3,95,98,3.06,West
2022,Arlington,VA,Passenger,1,0,1,118,119,0.84,South
2021,District of Columbia,DC,Passenger,5,0,5,190,195,2.56,
2017,Maricopa,AZ,Passenger,3,1,4,1994,1998,0.2,West
2018,Canyon,ID,Passenger,0,1,1,96,97,1.03,West
2018,Washoe,NV,Passenger,1,0,1,115,116,0.86,West
2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69,Midwest
2022,Washington,MD,Passenger,2,0,2,15,17,11.76,Northeast
2022,Denton,TX,Passenger,1,0,1,64,65,1.54,South
2023,Maui,HI,Passenger,1,0,1,19,20,5.0,West
2023,Hillsborough,FL,Passenger,1,2,3,102,105,2.86,South
2017,Honolulu,HI,Passenger,3,2,5,577,582,0.86,West
2022,Lake,FL,Passenger,1,0,1,19,20,5.0,South
2017,Missoula,MT,Passenger,1,0,1,74,75,1.33,West
2022,Lane,OR,Passenger,0,2,2,83,85,2.35,West
2018,Richland,SC,Passenger,0,1,1,165,166,0.6,South
2022,Orange,FL,Passenger,2,0,2,96,98,2.04,South
2019,Sangamon,IL,Passenger,2,0,2,7,9,22.22,Midwest
2021,Eagle,CO,Passenger,1,0,1,9,10,10.0,West
2020,Fulton,GA,Passenger,1,2,3,99,102,2.94,South
2019,Carroll,NH,Passenger,0,1,1,3,4,25.0,Northeast
2023,Henrico,VA,Passenger,0,1,1,5,6,16.67,South
2018,Cook,IL,Passenger,1,0,1,252,253,0.4,Midwest
2021,Manassas,VA,Passenger,0,1,1,6,7,14.29,South
2019,San Juan,PR,Passenger,0,1,1,3,4,25.0,
2021,Suffolk,MA,Passenger,0,2,2,29,31,6.45,Northeast
2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.0,Midwest
2022,Richmond,GA,Passenger,0,1,1,66,67,1.49,South
2022,Bell,TX,Passenger,1,0,1,314,315,0.32,South
2022,Richland,SC,Passenger,0,1,1,113,114,0.88,South
2017,Montgomery,PA,Passenger,1,0,1,39,40,2.5,Northeast
2023,Richmond,NY,Passenger,1,0,1,4,5,20.0,Northeast
2023,Denton,TX,Passenger,1,0,1,47,48,2.08,South
2021,Klamath,OR,Passenger,1,0,1,29,30,3.33,West
2019,Charles,MD,Passenger,0,1,1,84,85,1.18,Northeast
2018,Maricopa,AZ,Passenger,2,2,4,1607,1611,0.25,West
2023,Alameda,CA,Passenger,4,0,4,151,155,2.58,West
2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.0,
2022,Nueces,TX,Passenger,1,1,2,51,53,3.77,South
2018,Manatee,FL,Passenger,1,0,1,38,39,2.56,South
2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33,Midwest
2021,Danville,VA,Passenger,1,0,1,0,1,100.0,South
2018,Richmond,GA,Passenger,0,1,1,95,96,1.04,South
2021,Onslow,NC,Passenger,0,1,1,170,171,0.58,South
2022,Calvert,MD,Passenger,0,2,2,78,80,2.5,Northeast
2021,Harford,MD,Passenger,0,1,1,53,54,1.85,Northeast
2020,Hudson,NJ,Passenger,1,0,1,40,41,2.44,Northeast
2022,Boulder,CO,Passenger,2,0,2,38,40,5.0,West
2022,New London,CT,Passenger,2,4,6,183,189,3.17,Northeast
2018,Bexar,TX,Passenger,3,4,7,736,743,0.94,South
2019,Pima,AZ,Passenger,0,1,1,403,404,0.25,West
2017,Tarrant,TX,Passenger,1,0,1,232,233,0.43,South
2021,Arlington,VA,Passenger,1,1,2,134,136,1.47,South
2020,Rockingham,NH,Passenger,1,0,1,23,24,4.17,Northeast
2021,Kings,NY,Passenger,1,0,1,65,66,1.52,Northeast
2020,Lake,FL,Passenger,1,0,1,22,23,4.35,South
2023,New London,CT,Passenger,1,4,5,175,180,2.78,Northeast
2018,Cumberland,NC,Passenger,0,1,1,541,542,0.18,South
2018,Maricopa,AZ,Passenger,2,2,4,1593,1597,0.25,West
2021,St. Louis,MO,Passenger,1,0,1,80,81,1.23,Midwest
2023,Orange,CA,Passenger,7,2,9,283,292,3.08,West
2022,St. Tammany,LA,Passenger,1,0,1,34,35,2.86,South
2023,Salt Lake,UT,Passenger,0,1,1,112,113,0.88,West
2023,Charles,MD,Passenger,1,1,2,49,51,3.92,Northeast
2019,Hardin,KY,Passenger,0,1,1,105,106,0.94,South
2017,Polk,FL,Passenger,1,0,1,66,67,1.49,South
2019,Brevard,FL,Passenger,0,1,1,90,91,1.1,South
2021,Salt Lake,UT,Passenger,0,1,1,181,182,0.55,West
2021,Carson City,NV,Passenger,1,0,1,11,12,8.33,West
2022,Allegheny,PA,Passenger,1,1,2,55,57,3.51,Northeast
2023,Newport News,VA,Passenger,1,0,1,98,99,1.01,South
2019,Washtenaw,MI,Passenger,1,0,1,40,41,2.44,Midwest
2017,Carroll,NH,Passenger,0,1,1,0,1,100.0,Northeast
2022,Los Angeles,CA,Passenger,7,8,15,771,786,1.91,West
2019,Boone,MO,Passenger,0,1,1,11,12,8.33,Midwest
2019,Multnomah,OR,Passenger,4,6,10,728,738,1.36,West
2020,Harris,TX,Passenger,1,0,1,228,229,0.44,South
2023,Anne Arundel,MD,Passenger,5,3,8,295,303,2.64,Northeast
2019,Cochise,AZ,Passenger,0,1,1,113,114,0.88,West
2019,Williamson,TX,Passenger,0,2,2,147,149,1.34,South
2021,Kings,NY,Passenger,1,0,1,68,69,1.45,Northeast
2021,Loudoun,VA,Passenger,1,0,1,66,67,1.49,South
2022,Lake,IN,Passenger,0,1,1,9,10,10.0,Midwest
2023,Sheridan,WY,Passenger,1,0,1,6,7,14.29,West
2020,Chesapeake,VA,Passenger,0,1,1,414,415,0.24,South
2022,Hoke,NC,Passenger,1,0,1,74,75,1.33,South
2023,Alameda,CA,Passenger,4,0,4,165,169,2.37,West
2017,Durham,NC,Passenger,0,1,1,38,39,2.56,South
2020,Tulsa,OK,Passenger,1,1,2,41,43,4.65,South
2022,Orange,FL,Passenger,1,0,1,78,79,1.27,South
2023,St. Louis,MO,Passenger,1,0,1,51,52,1.92,Midwest
2020,Fresno,CA,Passenger,1,0,1,194,195,0.51,West
2021,St. Louis,MO,Passenger,1,0,1,83,84,1.19,Midwest
2021,Howard,MD,Passenger,0,1,1,66,67,1.49,Northeast
2020,Harnett,NC,Passenger,1,0,1,198,199,0.5,South
2020,Goochland,VA,Passenger,2,1,3,263,266,1.13,South
2019,Eagle,CO,Passenger,1,0,1,5,6,16.67,West
2018,Ramsey,MN,Passenger,1,0,1,42,43,2.33,Midwest
2021,Norfolk,VA,Passenger,2,3,5,330,335,1.49,South
2021,DeKalb,GA,Passenger,1,0,1,62,63,1.59,South
2018,Fairfax,VA,Passenger,2,2,4,811,815,0.49,South
2022,Travis,TX,Passenger,2,0,2,105,107,1.87,South
2018,Kent,MI,Passenger,0,1,1,35,36,2.78,Midwest
2020,Mercer,NJ,Passenger,0,1,1,16,17,5.88,Northeast
2022,Norfolk,VA,Passenger,3,3,6,307,313,1.92,South
2019,District of Columbia,DC,Passenger,1,1,2,209,211,0.95,
2019,Orange,CA,Passenger,7,3,10,531,541,1.85,West
2022,Suffolk,VA,Passenger,1,0,1,115,116,0.86,South
